TimeStamp,CPU_Freq,Battery_temp,GPU_Load,Seconds_Run,Temp_Smooth,Temp_Velocity,Stress_Score
1/1/1900 16:04,2918.4,33,23.69,24,33,0,1.2097
1/1/1900 16:04,960,33,5.24,26,33,0,0.3724
1/1/1900 16:04,633.6,33,20.33,28,33,0,0.4145
1/1/1900 16:05,633.6,33,12.92,31,33,0,0.3404
1/1/1900 16:05,2457.6,33,25.73,33,33,0,1.0765
1/1/1900 16:05,2918.4,33,14.36,35,33,0,1.1164
1/1/1900 16:05,2150.4,33,13.52,37,33,0,0.852
1/1/1900 16:05,1094.4,33,14.41,40,33,0,0.5089
1/1/1900 16:05,1900.8,33,6.81,42,33,0,0.7017
1/1/1900 16:05,2918.4,33,14.76,44,33,0,1.1204
1/1/1900 16:05,2918.4,34.1,12.77,47,33.11,0.11,1.1005
1/1/1900 16:05,2918.4,34.1,11.76,49,33.22,0.11,1.0904
1/1/1900 16:05,633.6,34.1,6.44,51,33.33,0.11,0.2756
1/1/1900 16:05,1459.2,34.1,6.44,54,33.44,0.11,0.5508
1/1/1900 16:05,1459.2,34.3,0,56,33.57,0.13,0.4864
1/1/1900 16:05,960,34.3,0,58,33.7,0.13,0.32
1/1/1900 16:05,2918.4,34.3,1.63,61,33.83,0.13,0.9891
1/1/1900 16:05,2918.4,34.3,1.69,63,33.96,0.13,0.9897
1/1/1900 16:05,1900.8,34.3,6.61,65,34.09,0.13,0.6997
1/1/1900 16:05,2304,34.4,10.6,68,34.23,0.14,0.874
1/1/1900 16:05,2918.4,34.4,16.61,70,34.26,0.03,1.1389
1/1/1900 16:05,2918.4,34.4,18.38,72,34.29,0.03,1.1566
1/1/1900 16:05,2918.4,34.4,12.7,75,34.32,0.03,1.0998
1/1/1900 16:05,2918.4,34.4,12.9,77,34.35,0.03,1.1018
1/1/1900 16:05,1651.2,34.4,16.75,79,34.36,0.01,0.7179
1/1/1900 16:05,2918.4,34.4,16.2,82,34.37,0.01,1.1348
1/1/1900 16:05,2304,34.4,41.37,84,34.38,0.01,1.1817
1/1/1900 16:05,2304,34.4,45.19,86,34.39,0.01,1.2199
1/1/1900 16:05,2304,34.4,18.75,88,34.4,0.01,0.9555
1/1/1900 16:06,1900.8,34.4,39.22,91,34.4,0,1.0258
1/1/1900 16:06,1900.8,34.4,47.63,93,34.4,0,1.1099
1/1/1900 16:06,1900.8,34.4,47.26,95,34.4,0,1.1062
1/1/1900 16:06,1900.8,35,17.4,97,34.46,0.06,0.8076
1/1/1900 16:06,1900.8,35,46.96,100,34.52,0.06,1.1032
1/1/1900 16:06,1900.8,35,31.84,102,34.58,0.06,0.952
1/1/1900 16:06,1900.8,35,10.93,105,34.64,0.06,0.7429
1/1/1900 16:06,1900.8,35,8.05,107,34.7,0.06,0.7141
1/1/1900 16:06,2918.4,35,18.37,109,34.76,0.06,1.1565
1/1/1900 16:06,2918.4,35,20.63,112,34.82,0.06,1.1791
1/1/1900 16:06,2918.4,35,13.36,114,34.88,0.06,1.1064
1/1/1900 16:06,2918.4,35,22.47,116,34.94,0.06,1.1975
1/1/1900 16:06,2918.4,35,40.68,119,35,0.06,1.3796
1/1/1900 16:06,2918.4,35,15.4,121,35,0,1.1268
1/1/1900 16:06,2918.4,35,17.6,124,35,0,1.1488
1/1/1900 16:06,2918.4,35,23.23,126,35,0,1.2051
1/1/1900 16:06,2918.4,35,14.01,129,35,0,1.1129
1/1/1900 16:06,2918.4,35,18.51,131,35,0,1.1579
1/1/1900 16:06,2918.4,35,16.74,134,35,0,1.1402
1/1/1900 16:06,2918.4,35,16.78,136,35,0,1.1406
1/1/1900 16:06,2918.4,35,16.61,139,35,0,1.1389
1/1/1900 16:06,2918.4,35,17.48,141,35,0,1.1476
1/1/1900 16:06,2918.4,35,18.12,144,35,0,1.154
1/1/1900 16:06,2918.4,35,45.26,146,35,0,1.4254
1/1/1900 16:07,2150.4,36.2,14.24,149,35.12,0.12,0.8592
1/1/1900 16:07,2803.2,36.2,17.36,151,35.24,0.12,1.108
1/1/1900 16:07,1766.4,36.2,23.76,153,35.36,0.12,0.8264
1/1/1900 16:07,1651.2,36.2,45.35,156,35.48,0.12,1.0039
1/1/1900 16:07,1900.8,36.2,44.06,158,35.6,0.12,1.0742
1/1/1900 16:07,1900.8,36.4,24.03,160,35.74,0.14,0.8739
1/1/1900 16:07,1900.8,36.4,38.82,163,35.88,0.14,1.0218
1/1/1900 16:11,633.6,34.9,8.08,394,35.87,-0.01,0.292
1/1/1900 16:11,633.6,34.9,0,396,35.86,-0.01,0.2112
1/1/1900 16:11,633.6,34.9,0,399,35.85,-0.01,0.2112
1/1/1900 16:11,633.6,34.9,0,401,35.72,-0.13,0.2112
1/1/1900 16:11,633.6,34.9,0,403,35.59,-0.13,0.2112
1/1/1900 16:11,633.6,34.9,0,406,35.46,-0.13,0.2112
1/1/1900 16:11,633.6,34.9,0,439,35.33,-0.13,0.2112
1/1/1900 16:11,633.6,34.9,0,441,35.2,-0.13,0.2112
1/1/1900 16:11,633.6,34.9,0,443,35.05,-0.15,0.2112
1/1/1900 16:13,633.6,33.9,0,517,34.8,-0.25,0.2112
1/1/1900 16:13,633.6,33.9,0,520,34.7,-0.1,0.2112
1/1/1900 16:13,633.6,33.9,0,537,34.6,-0.1,0.2112
1/1/1900 16:13,633.6,33.9,0,539,34.5,-0.1,0.2112
1/1/1900 16:13,633.6,33.9,0,541,34.4,-0.1,0.2112
